window,start,end,geom_mean,n_windows,window_type,window_id,subset,fold,sub_label,tau,d,h
2,13371.3069999218,4605678.9519999,248161.131546157,2,regular,3,all,5,,-4.77810394246483,0.357864214738176,0.0304411203200778
1,38.3629999160767,395.178999900818,123.126974867534,5,regular,4,all,5,,-2.88477194897399,0.52598109214166,1
2,398.260999917984,4117.75299978256,1280.60158796898,5,regular,5,all,5,,-3.33225747244974,0.465113795345008,0.448405147338026
3,4159.79800009727,42791.6510000229,13341.8373641248,5,regular,6,all,5,,-3.97026706691334,0.406094867904271,0.132424598389311
4,42824.5380001068,441248.032000065,137463.60650681,5,regular,7,all,5,,-4.74483900775458,0.353262061442166,0.0276379897520942
5,444687.072000027,4605678.9519999,1431113.51322562,5,regular,8,all,5,,-5.19134657452317,0.334903232414726,0.0107064303152589
1,38.3629999160767,121.253999948502,68.2031318184755,10,regular,9,all,5,,-2.74385641406667,0.553491224043593,1
2,123.598999977112,395.178999900818,221.00617457369,10,regular,10,all,5,,-2.98680591968806,0.505849304020997,1
3,398.260999917984,1281.28500008583,714.342946569851,10,regular,11,all,5,,-3.14317456884876,0.479945163680019,0.649578238026383
4,1285.92199993134,4117.75299978256,2301.11042166682,10,regular,12,all,5,,-3.4787660416243,0.441555163219096,0.257791075105266
5,4159.79800009727,13238.1209998131,7420.77551608107,10,regular,13,all,5,,-3.72320622255369,0.423702976161238,0.192537333418608
6,13371.3069999218,42791.6510000229,23920.2906034776,10,regular,14,all,5,,-4.12811635705664,0.388532688490522,0.0840388325744306
7,42824.5380001068,137553.312999964,76750.6161513218,10,regular,15,all,5,,-4.69161282803636,0.349106264269141,0.0265669443128231
8,138609.907999992,441248.032000065,247308.206739499,10,regular,16,all,5,,-4.7928271829613,0.351308750363248,0.0231815111365099
9,444687.072000027,1410000.22900009,791838.91881709,10,regular,17,all,5,,-5.10678800889143,0.334784626164021,0.0109802922553983
10,1458368.50699997,4605678.9519999,2591674.58160728,10,regular,18,all,5,,-5.56805535903324,0.314782295267272,0.00407796288873841
1,38.3629999160767,68.6730000972748,51.3274029828949,20,regular,19,all,5,,-2.81358945126932,0.555960091737159,1
2,68.949000120163,121.253999948502,91.4349061191595,20,regular,20,all,5,,-2.73044311212214,0.552677418703091,1
3,123.598999977112,220.978999853134,165.265796212615,20,regular,21,all,5,,-2.93274668380572,0.521402019983003,1
4,224.68799996376,395.178999900818,297.979830047931,20,regular,22,all,5,,-3.03222780818703,0.495118390396297,0.880656328686043
5,398.260999917984,713.151999950409,532.935857860737,20,regular,23,all,5,,-3.10835305177613,0.483119272337824,0.672117268064843
6,719.106000185013,1281.28500008583,959.885269971769,20,regular,24,all,5,,-3.16773198853859,0.474009011234879,0.579410086297
7,1285.92199993134,2299.80999994278,1719.70237965426,20,regular,25,all,5,,-3.30912029977761,0.460093329043207,0.393155474913061
8,2304.1139998436,4117.75299978256,3080.22277355015,20,regular,26,all,5,,-3.62254559107181,0.424185055314599,0.160714448625798
9,4159.79800009727,7391.78800010681,5545.11901946093,20,regular,27,all,5,,-3.65306996131189,0.42468857895863,0.20229594827789
10,7453.84100008011,13238.1209998131,9933.52148396672,20,regular,28,all,5,,-3.77527761709606,0.41429307479395,0.165532818999725
11,13371.3069999218,23490.6749999523,17722.8955608205,20,regular,29,all,5,,-3.92188044244906,0.403091094340356,0.118542495545494
12,24164.364000082,42791.6510000229,32156.38398404,20,regular,30,all,5,,-4.38799388111574,0.366310541088373,0.0471484443262979
13,42824.5380001068,76709.8499999046,57315.4768479109,20,regular,31,all,5,,-4.61868388746892,0.352018276426291,0.0296663595675023
14,76959.0260000229,137553.312999964,102888.138245152,20,regular,32,all,5,,-4.72827242280888,0.342724196514665,0.0233821284787428
15,138609.907999992,247039.671000004,185046.334926307,20,regular,33,all,5,,-4.77440278387491,0.349403114691167,0.0222623331889512
16,247494.954999924,441248.032000065,330464.312481183,20,regular,34,all,5,,-4.81444660053836,0.352471933506578,0.0209607974228937
17,444687.072000027,792104.104000092,593496.802625765,20,regular,35,all,5,,-5.01187449041357,0.3429730546131,0.0133538208669107
18,808071.109999895,1410000.22900009,1067417.65497307,20,regular,36,all,5,,-5.31107093005728,0.327152709359996,0.00714267220989845
19,1458368.50699997,2566018.70299983,1934476.89694859,20,regular,37,all,5,,-5.23458888370008,0.330842925007689,0.00736666755201609
20,2573482.61699986,4605678.9519999,3442765.56309806,20,regular,38,all,5,,-5.74473687559159,0.306238081655322,0.0029444837426553
1,38.3629999160767,600,151.716182227362,1,short,39,all,5,,-2.91454568802493,0.518634156599767,1
1,84600,88200,86381.2479650532,1,24h,40,all,5,,-4.72944259359777,0.337834533553157,0.0223089069557322
